topic,text
order_delivery,订单一直显示骑手已取餐但很久没动了怎么催单
order_delivery,骑手联系不上订单快超时了怎么办
order_delivery,配送太慢已经超过预计时间能不能加急
order_delivery,餐品送到时洒了包装破损怎么处理
order_delivery,漏送了一份饮料我该怎么申请售后
order_delivery,骑手到了但没按门铃就显示已送达
order_delivery,我想修改配送地址还能改吗
order_delivery,到店自取取餐码在哪里看
order_delivery,订单状态一直在备餐中不更新
order_delivery,骑手把餐送错了地址怎么办
payment,支付失败提示系统繁忙怎么解决
payment,扣款成功但是订单显示未支付
payment,我被重复扣款了两次钱怎么退
payment,取消订单了但还在扣款处理中
payment,银行卡扣款异常需要人工核查
payment,支付时提示风控拦截无法付款
payment,余额支付失败可以提现吗
payment,订单取消后退款多久到账
payment,我不小心点了两次支付被扣两次钱
payment,扣款了但订单页面没有生成订单
after_sales,申请退款入口在哪里
after_sales,餐品少送错送怎么申请赔付
after_sales,商家态度不好我要投诉
after_sales,退款进度一直显示处理中
after_sales,餐品有异物我想申请退差价
after_sales,商家差评被申诉我要补充证据
after_sales,我想撤销售后申请怎么操作
after_sales,售后处理结果不满意怎么升级处理
after_sales,订单已完成还能申请售后吗
after_sales,退款失败提示需要联系人工
account,忘记密码无法登录怎么找回
account,我要修改绑定手机号
account,账号被盗出现异常登录怎么办
account,我更换手机后收不到验证码
account,如何修改登录密码
account,账号被封禁我要申诉解封
account,提示账号存在风险需要验证身份
account,登录时提示设备异常需要解除
account,我的个人信息如何修改
account,账号安全验证失败怎么处理
other,我有一个问题不知道选哪个类型
other,系统页面打不开但我不确定是哪块问题
other,希望增加一个新功能可以备注口味
other,我想咨询一下平台规则
other,这个订单到底怎么回事帮我看看
other,你们客服什么时候上班
other,我想反馈一个建议
other,请问发票怎么开
